county_fips,media_market
01001,"Montgomery-Selma, AL"
01003,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
01005,"Columbus, GA"
01007,"Birmingham (Anniston and Tuscaloosa), AL"
01009,"Birmingham (Anniston and Tuscaloosa), AL"
01011,"Montgomery-Selma, AL"
01013,"Montgomery-Selma, AL"
01015,"Birmingham (Anniston and Tuscaloosa), AL"
01017,"Columbus, GA"
01019,"Birmingham (Anniston and Tuscaloosa), AL"
01021,"Birmingham (Anniston and Tuscaloosa), AL"
01023,"Meridian, MS"
01025,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
01027,"Birmingham (Anniston and Tuscaloosa), AL"
01029,"Atlanta, GA"
01031,"Dothan, AL"
01033,"Huntsville-Decatur (Florence), AL"
01035,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
01037,"Montgomery-Selma, AL"
01039,"Montgomery-Selma, AL"
01041,"Montgomery-Selma, AL"
01043,"Birmingham (Anniston and Tuscaloosa), AL"
01045,"Dothan, AL"
01047,"Montgomery-Selma, AL"
01049,"Huntsville-Decatur (Florence), AL"
01051,"Montgomery-Selma, AL"
01053,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
01055,"Birmingham (Anniston and Tuscaloosa), AL"
01057,"Birmingham (Anniston and Tuscaloosa), AL"
01059,"Huntsville-Decatur (Florence), AL"
01061,"Dothan, AL"
01063,"Birmingham (Anniston and Tuscaloosa), AL"
01065,"Birmingham (Anniston and Tuscaloosa), AL"
01067,"Dothan, AL"
01069,"Dothan, AL"
01071,"Huntsville-Decatur (Florence), AL"
01073,"Birmingham (Anniston and Tuscaloosa), AL"
01075,"Columbus-Tupelo-West Point, MS"
01077,"Huntsville-Decatur (Florence), AL"
01079,"Huntsville-Decatur (Florence), AL"
01081,"Columbus, GA"
01083,"Huntsville-Decatur (Florence), AL"
01085,"Montgomery-Selma, AL"
01087,"Montgomery-Selma, AL"
01089,"Huntsville-Decatur (Florence), AL"
01091,"Montgomery-Selma, AL"
01093,"Birmingham (Anniston and Tuscaloosa), AL"
01095,"Huntsville-Decatur (Florence), AL"
01097,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
01099,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
01101,"Montgomery-Selma, AL"
01103,"Huntsville-Decatur (Florence), AL"
01105,"Montgomery-Selma, AL"
01107,"Birmingham (Anniston and Tuscaloosa), AL"
01109,"Montgomery-Selma, AL"
01111,"Atlanta, GA"
01113,"Columbus, GA"
01115,"Birmingham (Anniston and Tuscaloosa), AL"
01117,"Birmingham (Anniston and Tuscaloosa), AL"
01119,"Meridian, MS"
01121,"Birmingham (Anniston and Tuscaloosa), AL"
01123,"Montgomery-Selma, AL"
01125,"Birmingham (Anniston and Tuscaloosa), AL"
01127,"Birmingham (Anniston and Tuscaloosa), AL"
01129,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
01131,"Montgomery-Selma, AL"
